,event_time,order_id,product_id,category_id,category_code,brand,price,user_id,age,sex,local
18,2020-04-28 042500 UTC,2297034737199350540,1515966223509719628,2.2681056355077325e+18,,,6.94,1.51591562544778e+18,37.0,女,北京
19,2020-04-28 042500 UTC,2297034737199350540,1515966223509719628,2.2681056355077325e+18,,,6.94,1.51591562544778e+18,37.0,女,北京
20,2020-04-28 090147 UTC,2297174044555871159,2273948222957290212,2.268105409225032e+18,computers.peripherals.monitor,samsung,254.61,1.5159156254426752e+18,27.0,女,上海
21,2020-04-28 090147 UTC,2297174044555871159,2273948222957290212,2.268105409225032e+18,computers.peripherals.monitor,samsung,254.61,1.5159156254426752e+18,27.0,女,上海
22,2020-04-28 113647 UTC,2297252054407578606,2273948303177548033,2.268105407933187e+18,computers.peripherals.printer,epson,164.33,1.5159156254509169e+18,48.0,女,江苏
23,2020-04-28 113647 UTC,2297252054407578606,2273948303177548033,2.268105407933187e+18,computers.peripherals.printer,epson,164.33,1.5159156254509169e+18,48.0,女,江苏
24,2020-04-28 113647 UTC,2297252054407578606,2273948303177548033,2.268105407933187e+18,computers.peripherals.printer,epson,164.33,1.5159156254509169e+18,48.0,女,江苏
25,2020-04-29 032512 UTC,2297729407910937541,1515966223509105105,2.2681054275289748e+18,,sbs,0.02,1.5159156254417083e+18,47.0,男,广东
26,2020-04-29 032512 UTC,2297729407910937541,1515966223509105105,2.2681054275289748e+18,,sbs,0.02,1.5159156254417083e+18,47.0,男,广东
27,2020-04-29 044639 UTC,2297770405059888020,1515966223509088578,2.2681054281665088e+18,electronics.smartphone,samsung,300.9,1.5159156254516416e+18,28.0,女,海南
28,2020-04-29 062039 UTC,2297817716758675935,1515966223510177666,2.2681054422425933e+18,,geyzer,6.23,1.515915625451581e+18,24.0,男,广东
29,2020-04-29 062039 UTC,2297817716758675935,1515966223510177666,2.2681054422425933e+18,,geyzer,6.23,1.515915625451581e+18,24.0,男,广东
30,2020-04-29 062153 UTC,2297818341995184662,1515966223509382310,2.2681054387780984e+18,appliances.kitchen.kettle,tefal,7.85,1.515915625447631e+18,41.0,男,广东
31,2020-04-29 085624 UTC,2297896107595793042,1515966223509104759,2.2681054281665088e+18,electronics.smartphone,samsung,300.9,1.5159156254520428e+18,41.0,女,北京
32,2020-04-29 103840 UTC,2297947579247231353,1515966223509881617,2.2681054099380636e+18,computers.components.memory,kingston,49.98,1.5159156254551053e+18,22.0,男,浙江
33,2020-04-29 104621 UTC,2297951447913857849,2273948319057183658,2.2681054301629975e+18,electronics.audio.headphone,huawei,77.52,1.5159156254478794e+18,38.0,女,北京
34,2020-04-29 104621 UTC,2297951447913857849,1515966223509088613,2.2681054301629975e+18,electronics.audio.headphone,apple,203.68,1.5159156254478794e+18,38.0,女,北京
35,2020-04-29 115950 UTC,2297988436574864215,1515966223509089486,2.2681054281665088e+18,electronics.smartphone,samsung,115.72,1.5159156254414835e+18,47.0,女,重庆
36,2020-04-29 115950 UTC,2297988436574864215,1515966223509259423,2.268105428594328e+18,electronics.clocks,apple,317.11,1.5159156254414835e+18,47.0,女,重庆
37,2020-04-29 120059 UTC,2297989017720849297,1515966223509088635,2.3744989140005924e+18,electronics.video.tv,ava,162.01,1.515915625448293e+18,37.0,女,北京
38,2020-04-29 120059 UTC,2297989017720849297,1515966223509088635,2.3744989140005924e+18,electronics.video.tv,ava,162.01,1.515915625448293e+18,37.0,女,北京
39,2020-04-29 120534 UTC,2297991320922226852,1515966223509123236,2.2681054422425933e+18,,barjher,9.24,1.5159156254415078e+18,18.0,男,上海
40,2020-04-29 120534 UTC,2297991320922226852,1515966223509127751,2.2681054400447785e+18,appliances.personal.scales,polaris,21.97,1.5159156254415078e+18,18.0,男,上海
41,2020-04-29 120912 UTC,2297993149328392585,1515966223509302893,2.268105393462838e+18,country_yard.weather_station,beurer,23.12,1.5159156254502108e+18,44.0,男,广东
42,2020-04-29 120913 UTC,2297993157859606924,1515966223509089076,2.2681054281665088e+18,electronics.smartphone,samsung,161.78,1.51591562544245e+18,38.0,女,重庆
43,2020-04-29 120953 UTC,2297993489704550822,2273948319115903999,2.2681054411017428e+18,appliances.kitchen.blender,polaris,43.96,1.5159156254464274e+18,50.0,男,湖南
44,2020-04-29 121033 UTC,2297993830969901527,2273948186710114818,2.2681054450947205e+18,,schwiizer,20.81,1.5159156254521887e+18,38.0,女,天津
45,2020-04-29 121352 UTC,2297995500990759592,1515966223509104759,2.2681054281665088e+18,electronics.smartphone,samsung,300.9,1.515915625452153e+18,46.0,女,湖南
46,2020-04-29 121726 UTC,2297997293107807087,1515966223509089514,2.2681054281665088e+18,electronics.smartphone,samsung,254.61,1.515915625445931e+18,18.0,男,上海
47,2020-04-29 122008 UTC,2297998653177987103,1515966223509104759,2.2681054281665088e+18,electronics.smartphone,samsung,300.9,1.51591562545213e+18,25.0,女,天津
48,2020-04-29 122404 UTC,2298000635255062805,1515966223509117349,2.2681054024470372e+18,appliances.personal.scales,scarlett,18.5,1.515915625444748e+18,25.0,男,广东
49,2020-04-29 122534 UTC,2298001389550305634,1515966223509088613,2.2681054301629975e+18,electronics.audio.headphone,apple,203.68,1.5159156254521933e+18,47.0,男,广东
50,2020-04-29 122702 UTC,2298002125248004522,2273948241915544394,2.2681054281665088e+18,electronics.smartphone,apple,346.97,1.5159156254521958e+18,24.0,男,广东
51,2020-04-29 122706 UTC,2298002162359206320,1515966223509616430,2.2681053939661545e+18,appliances.kitchen.refrigerators,caso,312.48,1.5159156254476554e+18,34.0,女,广东
52,2020-04-29 122747 UTC,2298002502676644300,1515966223509107888,2.2681054272605396e+18,,samsung,18.5,1.5159156254413734e+18,50.0,女,北京
53,2020-04-29 122747 UTC,2298002502676644300,1515966223509088628,2.2681054281665088e+18,electronics.smartphone,samsung,856.46,1.5159156254413734e+18,50.0,女,北京
54,2020-04-29 123050 UTC,2298004034688123530,1515966223509262208,2.2681054281665088e+18,electronics.smartphone,nokia,83.31,1.5159156254430792e+18,37.0,男,广东
55,2020-04-29 123104 UTC,2298004151876977305,1515966223509089836,2.2681054281665088e+18,electronics.smartphone,vivo,208.31,1.5159156254482483e+18,25.0,女,上海
56,2020-04-29 123147 UTC,2298004518056493760,1515966223509106817,2.2681054266481713e+18,electronics.tablet,samsung,162.01,1.5159156254450245e+18,45.0,男,上海
57,2020-04-29 123244 UTC,2298004997423497997,2273948312304353950,2.2681054281665088e+18,electronics.smartphone,huawei,138.63,1.5159156254410437e+18,17.0,女,湖北
58,2020-04-29 123527 UTC,2298006362988217260,1515966223509382227,2.2681054115235103e+18,accessories.bag,kingston,6.23,1.515915625452199e+18,30.0,男,广东
59,2020-04-29 123633 UTC,2298006914606302181,1515966223509090139,2.2681054281665088e+18,electronics.smartphone,samsung,138.63,1.515915625449929e+18,36.0,女,广东
60,2020-04-29 123738 UTC,2298007461744869422,2273948308663698149,2.3744989140005924e+18,electronics.video.tv,samsung,381.92,1.5159156254521925e+18,49.0,男,北京
61,2020-04-29 124212 UTC,2298009757589438761,1515966223509104974,2.2681054063561288e+18,computers.peripherals.keyboard,,12.71,1.5159156254519995e+18,44.0,女,广东
62,2020-04-29 124212 UTC,2298009757589438761,1515966223509127651,2.268105409225032e+18,computers.peripherals.monitor,aoc,109.24,1.5159156254519995e+18,44.0,女,广东
63,2020-04-29 124212 UTC,2298009757589438761,1515966223509260344,2.2681054065490668e+18,computers.peripherals.mouse,logitech,11.55,1.5159156254519995e+18,44.0,女,广东
64,2020-04-29 124212 UTC,2298009757589438761,1515966223509104402,2.2681054093173064e+18,,,300.9,1.5159156254519995e+18,44.0,女,广东
65,2020-04-29 124836 UTC,2298012983688692346,1515966223509130844,2.2681053904848824e+18,appliances.iron,tefal,81.0,1.5159156254521715e+18,37.0,男,湖北
66,2020-04-29 125131 UTC,2298014448792634130,1515966223509105072,2.2681054409171932e+18,appliances.kitchen.mixer,maxwell,16.18,1.5159156254494026e+18,50.0,男,上海
67,2020-04-29 125136 UTC,2298014487472505625,1515966223509090092,2.2681054065490668e+18,computers.peripherals.mouse,logitech,77.52,1.5159156254456758e+18,35.0,女,广东
68,2020-04-29 125150 UTC,2298014603872830244,1515966223509283414,2.268105654591816e+18,,maxwell,6.92,1.5159156254521836e+18,27.0,男,重庆
69,2020-04-29 125150 UTC,2298014603872830244,1515966223509089420,2.2681054065490668e+18,computers.peripherals.mouse,,5.07,1.5159156254521836e+18,27.0,男,重庆
70,2020-04-29 125150 UTC,2298014603872830244,1515966223509261693,2.2681054387026007e+18,,maestro,3.68,1.5159156254521836e+18,27.0,男,重庆
71,2020-04-29 125941 UTC,2298018560376570085,1515966223509090205,2.2681054418567176e+18,appliances.kitchen.kettle,vitek,20.81,1.5159156254522117e+18,28.0,男,江苏
72,2020-04-29 125946 UTC,2298018598116917482,1515966223509104973,2.2681054282503951e+18,electronics.telephone,panasonic,29.14,1.5159156254522007e+18,39.0,男,北京
73,2020-04-29 130259 UTC,2298020220926689678,1515966223509090011,2.2681054281665088e+18,electronics.smartphone,samsung,138.87,1.5159156254520947e+18,24.0,女,上海
74,2020-04-29 130318 UTC,2298020380796780966,1515966223509089955,2.268105441009468e+18,appliances.kitchen.meat_grinder,moulinex,57.85,1.5159156254440576e+18,48.0,男,上海
75,2020-04-29 130458 UTC,2298021217040335364,1515966223509127692,2.2681054301629975e+18,electronics.audio.headphone,sony,9.24,1.515915625452214e+18,37.0,男,广东
76,2020-04-29 131148 UTC,2298024655925019493,1515966223509336023,2.2681053930350193e+18,,bork,391.18,1.515915625452171e+18,21.0,男,广东
77,2020-04-29 131434 UTC,2298026047444091877,1515966223509127491,2.2681053930350193e+18,,polaris,46.27,1.5159156254519332e+18,28.0,男,广东
78,2020-04-29 131442 UTC,2298026113470825457,2273948219543126283,2.268105402556089e+18,appliances.personal.hair_cutter,imetec,20.81,1.5159156254519524e+18,19.0,女,广东
79,2020-04-29 131508 UTC,2298026333160079366,1515966223509259935,2.2681054301629975e+18,electronics.audio.headphone,panasonic,3.45,1.5159156254416315e+18,40.0,女,江苏
80,2020-04-29 131635 UTC,2298027060855046228,1515966223509299636,2.268105428502053e+18,,sjcam,157.38,1.5159156254522135e+18,40.0,女,重庆
81,2020-04-29 131655 UTC,2298027230749524074,1515966223509258997,2.268105654591816e+18,,maxwell,8.08,1.5159156254522094e+18,33.0,男,江苏
82,2020-04-29 131716 UTC,2298027408663511168,1515966223510206441,2.2681054460342444e+18,,,2.52,1.515915625513725e+18,31.0,女,上海
83,2020-04-29 132023 UTC,2298028973541556521,1515966223509089262,2.268105403822769e+18,,braun,42.8,1.51591562545222e+18,37.0,女,北京
84,2020-04-29 132308 UTC,2298030363735228851,1515966223509612203,2.268105392925967e+18,appliances.environment.air_heater,ava,11.55,1.5159156254515615e+18,43.0,女,北京
85,2020-04-29 132335 UTC,2298030589137125829,1515966223509104096,2.2681054587178191e+18,,sony,19.88,1.5159156254495977e+18,36.0,男,北京
86,2020-04-29 132758 UTC,2298032794787381933,1515966223509088650,2.2681054072201556e+18,computers.notebook,lenovo,479.14,1.515915625452208e+18,42.0,男,北京
87,2020-04-29 132803 UTC,2298032832309625523,1515966223509259004,2.2681054406403692e+18,,redmond,16.18,1.515915625452221e+18,28.0,男,海南
88,2020-04-29 132925 UTC,2298033523732251384,2273948232075706577,2.2681054065490668e+18,computers.peripherals.mouse,,20.35,1.5159156254410176e+18,23.0,女,重庆
89,2020-04-29 132933 UTC,2298033587376620288,1515966223509105283,2.2681054281665088e+18,electronics.smartphone,xiaomi,148.82,1.5159156254522148e+18,48.0,女,天津
90,2020-04-29 133117 UTC,2298034461511517018,2273948309552889991,2.2681054649253888e+18,kids.skates,globber,138.63,1.5159156254522012e+18,16.0,男,北京
91,2020-04-29 133133 UTC,2298034599193740139,1515966223509089762,2.2681053899564e+18,appliances.kitchen.washer,samsung,451.37,1.5159156254414129e+18,40.0,女,海南
92,2020-04-29 133133 UTC,2298034599193740139,2273948254808834551,2.2681054411017428e+18,appliances.kitchen.blender,,74.05,1.5159156254414129e+18,40.0,女,海南
93,2020-04-29 133133 UTC,2298034599193740139,1515966223509298620,2.268105441009468e+18,appliances.kitchen.meat_grinder,philips,115.72,1.5159156254414129e+18,40.0,女,海南
94,2020-04-29 133133 UTC,2298034599193740139,1515966223509260303,2.268105442636858e+18,furniture.kitchen.table,,23.13,1.5159156254414129e+18,40.0,女,海南
95,2020-04-29 133133 UTC,2298034599193740139,1515966223509259922,2.268105442636858e+18,furniture.kitchen.table,rondell,20.81,1.5159156254414129e+18,40.0,女,海南
96,2020-04-29 133133 UTC,2298034599193740139,1515966223509123098,2.2681054392478605e+18,appliances.kitchen.microwave,samsung,122.66,1.5159156254414129e+18,40.0,女,海南
97,2020-04-29 133155 UTC,2298034778315686781,2273948184998838548,2.2681054411017428e+18,appliances.kitchen.blender,polaris,32.38,1.5159156254521492e+18,28.0,女,北京
98,2020-04-29 133417 UTC,2298035974564742130,1515966223510206745,2.3090185769855227e+18,,iqos,8.1,1.5159156254520753e+18,18.0,男,广东
99,2020-04-29 134004 UTC,2298038880856703210,1515966223509616600,2.2681054450947205e+18,,lavazza,6.92,1.515915625444424e+18,43.0,男,广东
100,2020-04-29 134110 UTC,2298039440460742945,2273948190023614610,2.2681054065490668e+18,computers.peripherals.mouse,razer,39.1,1.515915625514808e+18,30.0,男,北京
